filename,granularity,distribution,frequency,energy_consumption,id_number
locustfile_burst_high_0.01_120_40_10s_10_requests.csv,coarse,burst,high,4184.6,10
locustfile_burst_med_0.4_120_40_10s_1_requests.csv,coarse,burst,med,3873.899999999999,1
locustfile_burst_med_0.4_120_40_10s_2_requests.csv,coarse,burst,med,3771.8,2
locustfile_burst_med_0.4_120_40_10s_3_requests.csv,coarse,burst,med,3703.6000000000004,3
locustfile_burst_med_0.4_120_40_10s_4_requests.csv,coarse,burst,med,3705.1999999999994,4
locustfile_burst_med_0.4_120_40_10s_5_requests.csv,coarse,burst,med,3747.3999999999996,5
locustfile_burst_med_0.4_120_40_10s_6_requests.csv,coarse,burst,med,3754.8999999999996,6
locustfile_burst_med_0.4_120_40_10s_7_requests.csv,coarse,burst,med,3709.7999999999997,7
locustfile_burst_med_0.4_120_40_10s_8_requests.csv,coarse,burst,med,3743.899999999999,8
locustfile_burst_med_0.4_120_40_10s_9_requests.csv,coarse,burst,med,3639.3999999999996,9
locustfile_burst_med_0.4_120_40_10s_10_requests.csv,coarse,burst,med,3656.0,10
locustfile_burst_low_5_120_40_10s_1_requests.csv,coarse,burst,low,3804.9000000000005,1
locustfile_burst_low_5_120_40_10s_2_requests.csv,coarse,burst,low,3728.8999999999996,2
locustfile_burst_low_5_120_40_10s_3_requests.csv,coarse,burst,low,3661.2000000000007,3
locustfile_burst_low_5_120_40_10s_4_requests.csv,coarse,burst,low,3684.0,4
locustfile_burst_low_5_120_40_10s_5_requests.csv,coarse,burst,low,3655.2999999999997,5
locustfile_burst_low_5_120_40_10s_6_requests.csv,coarse,burst,low,3717.9000000000005,6
locustfile_burst_low_5_120_40_10s_7_requests.csv,coarse,burst,low,3676.2,7
locustfile_burst_low_5_120_40_10s_8_requests.csv,coarse,burst,low,3692.9,8
locustfile_burst_low_5_120_40_10s_9_requests.csv,coarse,burst,low,3679.7999999999997,9
locustfile_burst_low_5_120_40_10s_10_requests.csv,coarse,burst,low,3683.8,10
locustfile_even_high_0.5_120_40_120s_1_requests.csv,coarse,even,high,3904.9,1
locustfile_even_high_0.5_120_40_120s_2_requests.csv,coarse,even,high,4064.0000000000005,2
locustfile_even_high_0.5_120_40_120s_3_requests.csv,coarse,even,high,4229.200000000001,3
locustfile_even_high_0.5_120_40_120s_4_requests.csv,coarse,even,high,4043.2999999999993,4
locustfile_even_high_0.5_120_40_120s_5_requests.csv,coarse,even,high,4027.9999999999995,5
locustfile_even_high_0.5_120_40_120s_6_requests.csv,coarse,even,high,4003.4999999999995,6
locustfile_even_high_0.5_120_40_120s_7_requests.csv,coarse,even,high,4080.999999999999,7
locustfile_even_high_0.5_120_40_120s_8_requests.csv,coarse,even,high,3990.6,8
locustfile_even_high_0.5_120_40_120s_9_requests.csv,coarse,even,high,4009.2000000000003,9
locustfile_even_high_0.5_120_40_120s_10_requests.csv,coarse,even,high,3965.4999999999995,10
locustfile_even_med_6_120_40_120s_1_requests.csv,coarse,even,med,3669.2000000000007,1
locustfile_even_med_6_120_40_120s_2_requests.csv,coarse,even,med,3704.8,2
locustfile_even_med_6_120_40_120s_3_requests.csv,coarse,even,med,3703.1000000000004,3
locustfile_even_med_6_120_40_120s_4_requests.csv,coarse,even,med,3750.2,4
locustfile_even_med_6_120_40_120s_5_requests.csv,coarse,even,med,3748.1,5
locustfile_even_med_6_120_40_120s_6_requests.csv,coarse,even,med,3705.7999999999997,6
locustfile_even_med_6_120_40_120s_7_requests.csv,coarse,even,med,3719.2,7
locustfile_even_med_6_120_40_120s_8_requests.csv,coarse,even,med,3616.5,8
locustfile_even_med_6_120_40_120s_9_requests.csv,coarse,even,med,3666.5,9
locustfile_even_med_6_120_40_120s_10_requests.csv,coarse,even,med,3741.600000000001,10
locustfile_even_low_60_120_40_120s_1_requests.csv,coarse,even,low,3649.7000000000003,1
locustfile_even_low_60_120_40_120s_2_requests.csv,coarse,even,low,3617.5,2
locustfile_even_low_60_120_40_120s_3_requests.csv,coarse,even,low,3695.6,3
locustfile_even_low_60_120_40_120s_4_requests.csv,coarse,even,low,3689.3999999999996,4
locustfile_even_low_60_120_40_120s_5_requests.csv,coarse,even,low,3656.2000000000007,5
locustfile_even_low_60_120_40_120s_6_requests.csv,coarse,even,low,3725.1000000000004,6
locustfile_even_low_60_120_40_120s_7_requests.csv,coarse,even,low,3729.6000000000004,7
locustfile_even_low_60_120_40_120s_8_requests.csv,coarse,even,low,3585.7,8
locustfile_even_low_60_120_40_120s_9_requests.csv,coarse,even,low,3567.2999999999993,9
locustfile_even_low_60_120_40_120s_10_requests.csv,coarse,even,low,3647.5,10
